gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,firstPick,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,1,Blue,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1.0,Gragas,Kai'Sa,Camille,Akali,Samira,Ezreal,,,,,,1926,1,4,1,9,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17008.0,529.8442,0.205386,890.0623,1549.8442,3635.0,17.0,0.5296,6.0,0.1869,7.0,39.0,1.215,12766,8561.0,266.6978,0.193238,11875.0,,,245.0,230.0,15.0,5.0,4.0,7.6324,3361.0,4676.0,93.0,3042.0,4509.0,76.0,319.0,167.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.0,7989.0,149.0,4438.0,6462.0,112.0,1586.0,1527.0,37.0,2.0,0.0,0.0,0.0,0.0,2.0,8028.0,10367.0,190.0,6357.0,9344.0,158.0,1671.0,1023.0,32.0,2.0,1.0,1.0,0.0,2.0,2.0,10059.0,13794.0,229.0,7755.0,11376.0,193.0,2304.0,2418.0,36.0,3.0,1.0,1.0,0.0,2.0,3.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1.0,Olaf,Kai'Sa,Camille,Akali,Samira,Ezreal,,,,,,1926,1,6,3,4,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14274.0,444.6729,0.17237,1091.3707,904.4237,1890.0,11.0,0.3427,15.0,0.4673,9.0,49.0,1.5265,12771,8566.0,266.8536,0.193351,11150.0,,,206.0,42.0,164.0,116.0,4.0,6.4174,3139.0,3613.0,71.0,3852.0,4213.0,79.0,-713.0,-600.0,-8.0,0.0,0.0,1.0,0.0,2.0,0.0,5016.0,5929.0,110.0,5992.0,6196.0,116.0,-976.0,-267.0,-6.0,1.0,0.0,1.0,0.0,2.0,0.0,6692.0,8017.0,145.0,8252.0,8687.0,157.0,-1560.0,-670.0,-12.0,1.0,1.0,2.0,2.0,3.0,0.0,8820.0,10911.0,180.0,9490.0,10019.0,179.0,-670.0,892.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,3,Blue,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1.0,Twisted Fate,Kai'Sa,Camille,Akali,Samira,Ezreal,,,,,,1926,1,2,0,17,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23543.0,733.4268,0.284301,507.8193,294.9221,8221.0,15.0,0.4673,2.0,0.0623,4.0,25.0,0.7788,14247,10042.0,312.8349,0.226665,12400.0,,,262.0,215.0,47.0,16.0,14.0,8.162,3629.0,4831.0,91.0,3753.0,4498.0,92.0,-124.0,333.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,5754.0,8097.0,139.0,6458.0,6986.0,146.0,-704.0,1111.0,-7.0,0.0,3.0,0.0,1.0,0.0,1.0,8239.0,11065.0,183.0,9258.0,9514.0,190.0,-1019.0,1551.0,-7.0,1.0,5.0,0.0,2.0,2.0,2.0,10473.0,14401.0,229.0,11332.0,11880.0,247.0,-859.0,2521.0,-18.0,1.0,6.0,0.0,2.0,2.0,2.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,4,Blue,bot,Rekkles,oe:player:d8362fe0d38ca0e70953ed957deaa00,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1.0,Sivir,Kai'Sa,Camille,Akali,Samira,Ezreal,,,,,,1926,1,9,0,9,23,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7165,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,23970.0,746.729,0.289458,314.6417,185.8567,8419.0,14.0,0.4361,9.0,0.2804,5.0,37.0,1.1526,16778,12573.0,391.6822,0.283792,14725.0,,,328.0,300.0,28.0,8.0,12.0,10.2181,3312.0,2887.0,82.0,3525.0,2992.0,79.0,-213.0,-105.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5249.0,5234.0,140.0,5235.0,5377.0,129.0,14.0,-143.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,7741.0,7546.0,189.0,7157.0,7702.0,175.0,584.0,-156.0,14.0,1.0,2.0,0.0,1.0,2.0,1.0,10728.0,10901.0,257.0,8726.0,9573.0,218.0,2002.0,1328.0,39.0,2.0,3.0,0.0,1.0,2.0,2.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,5,Blue,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1.0,Alistar,Kai'Sa,Camille,Akali,Samira,Ezreal,,,,,,1926,1,2,5,13,23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7165,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4015.0,125.0779,0.0484845,655.7321,836.0125,319.0,56.0,1.7445,14.0,0.4361,18.0,98.0,3.053,8766,4561.0,142.0872,0.102954,8250.0,,,38.0,38.0,0.0,0.0,0.0,1.1838,2127.0,2437.0,11.0,2196.0,2658.0,16.0,-69.0,-221.0,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,3399.0,4066.0,22.0,3137.0,3271.0,21.0,262.0,795.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4885.0,5962.0,32.0,4368.0,5014.0,27.0,517.0,948.0,5.0,1.0,3.0,2.0,0.0,3.0,1.0,6228.0,8373.0,36.0,5178.0,6210.0,30.0,1050.0,2163.0,6.0,1.0,5.0,2.0,0.0,3.0,1.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,6,Red,top,Armut,oe:player:2d2b174e23f40f5ea3a0c4151349ca3,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0.0,Renekton,Pantheon,Taliyah,Thresh,Ashe,Senna,,,,,,1926,0,3,6,3,9,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14697.0,457.8505,0.237071,1198.2555,1048.8474,939.0,17.0,0.5296,5.0,0.1558,8.0,36.0,1.1215,10843,6638.0,206.7913,0.209301,10600.0,,,223.0,208.0,15.0,8.0,0.0,6.947,3042.0,4509.0,76.0,3361.0,4676.0,93.0,-319.0,-167.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4438.0,6462.0,112.0,6024.0,7989.0,149.0,-1586.0,-1527.0,-37.0,0.0,0.0,2.0,2.0,0.0,0.0,6357.0,9344.0,158.0,8028.0,10367.0,190.0,-1671.0,-1023.0,-32.0,0.0,2.0,2.0,2.0,1.0,1.0,7755.0,11376.0,193.0,10059.0,13794.0,229.0,-2304.0,-2418.0,-36.0,0.0,2.0,3.0,3.0,1.0,1.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,7,Red,jng,Elyoya,oe:player:8a8f18e4b7d0f30c19c5fb99a526951,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0.0,Lillia,Pantheon,Taliyah,Thresh,Ashe,Senna,,,,,,1926,0,2,4,6,9,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2804,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13039.0,406.1994,0.210327,826.6355,515.4206,51.0,12.0,0.3738,12.0,0.3738,11.0,45.0,1.4019,10965,6760.0,210.5919,0.213148,10975.0,,,196.0,30.0,166.0,121.0,9.0,6.1059,3852.0,4213.0,79.0,3139.0,3613.0,71.0,713.0,600.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,5992.0,6196.0,116.0,5016.0,5929.0,110.0,976.0,267.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,8252.0,8687.0,157.0,6692.0,8017.0,145.0,1560.0,670.0,12.0,2.0,3.0,0.0,1.0,1.0,2.0,9490.0,10019.0,179.0,8820.0,10911.0,180.0,670.0,-892.0,-1.0,2.0,3.0,1.0,2.0,2.0,2.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,8,Red,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0.0,Tristana,Pantheon,Taliyah,Thresh,Ashe,Senna,,,,,,1926,0,2,6,5,9,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,15191.0,473.2399,0.24504,573.7072,290.7788,7067.0,14.0,0.4361,11.0,0.3427,6.0,43.0,1.3396,13096,8891.0,276.9782,0.280336,12750.0,,,271.0,252.0,19.0,12.0,3.0,8.4424,3753.0,4498.0,92.0,3629.0,4831.0,91.0,124.0,-333.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6458.0,6986.0,146.0,5754.0,8097.0,139.0,704.0,-1111.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,9258.0,9514.0,190.0,8239.0,11065.0,183.0,1019.0,-1551.0,7.0,2.0,2.0,2.0,1.0,5.0,0.0,11332.0,11880.0,247.0,10473.0,14401.0,229.0,859.0,-2521.0,18.0,2.0,2.0,2.0,1.0,6.0,0.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,9,Red,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0.0,Jhin,Pantheon,Taliyah,Thresh,Ashe,Senna,,,,,,1926,0,1,4,4,9,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2804,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,14922.0,464.8598,0.240701,487.1028,203.3956,0.0,15.0,0.4673,5.0,0.1558,7.0,30.0,0.9346,10825,6620.0,206.2305,0.208734,10625.0,,,267.0,267.0,0.0,0.0,0.0,8.3178,3525.0,2992.0,79.0,3312.0,2887.0,82.0,213.0,105.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,5235.0,5377.0,129.0,5249.0,5234.0,140.0,-14.0,143.0,-11.0,1.0,0.0,0.0,0.0,1.0,0.0,7157.0,7702.0,175.0,7741.0,7546.0,189.0,-584.0,156.0,-14.0,1.0,2.0,1.0,1.0,2.0,0.0,8726.0,9573.0,218.0,10728.0,10901.0,257.0,-2002.0,-1328.0,-39.0,1.0,2.0,2.0,2.0,3.0,0.0
ESPORTSTMNT04/1480651,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087,LEC,2021,Spring,0,2021-01-22 16:30:25,1.0,11.01,10,Red,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0.0,Leona,Pantheon,Taliyah,Thresh,Ashe,Senna,,,,,,1926,0,1,3,6,9,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804,0.9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4145.0,129.1277,0.0668613,436.1994,456.6355,197.0,55.0,1.7134,15.0,0.4673,17.0,92.0,2.866,7011,2806.0,87.4143,0.0884818,6325.0,,,42.0,42.0,0.0,0.0,0.0,1.3084,2196.0,2658.0,16.0,2127.0,2437.0,11.0,69.0,221.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3137.0,3271.0,21.0,3399.0,4066.0,22.0,-262.0,-795.0,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,4368.0,5014.0,27.0,4885.0,5962.0,32.0,-517.0,-948.0,-5.0,0.0,3.0,1.0,1.0,3.0,2.0,5178.0,6210.0,30.0,6228.0,8373.0,36.0,-1050.0,-2163.0,-6.0,0.0,3.0,1.0,1.0,5.0,2.0
