gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,firstPick,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,1,Blue,top,Odoamne,oe:player:2b819506567c258f6fffdd4ec78ca0c,Excel Esports,oe:team:8f995652631df209ff11c4542abdcaf,1.0,K'Sante,Sylas,Ryze,Yuumi,Akali,Gwen,,,,,,1826,0,5,5,2,11,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,14965.0,491.7306,0.229778,989.9014,1580.7338,480.0,7.0,0.23,3.0,0.0986,2.0,14.0,0.46,10574,6573,215.9803,0.22765,10200.0,,,230.0,220.0,10.0,,,7.5575,3241.0,4806.0,84.0,3126.0,4960.0,69.0,115.0,-154.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,5066.0,8170.0,130.0,4931.0,7877.0,113.0,135.0,293.0,17.0,1.0,0.0,1.0,0.0,1.0,1.0,6565.0,10259.0,173.0,6989.0,10588.0,159.0,-424.0,-329.0,14.0,1.0,0.0,2.0,0.0,2.0,1.0,8507.0,12582.0,200.0,9360.0,14320.0,191.0,-853.0,-1738.0,9.0,3.0,1.0,4.0,2.0,4.0,2.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,2,Blue,jng,Xerxe,oe:player:ab7f28ca18446cb18274a884b1525f7,Excel Esports,oe:team:8f995652631df209ff11c4542abdcaf,1.0,Wukong,Sylas,Ryze,Yuumi,Akali,Gwen,,,,,,1826,0,0,3,5,11,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3614,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,0.0,1.0,5834.0,191.6977,0.0895774,947.6451,685.5969,301.0,6.0,0.1972,16.0,0.5257,5.0,48.0,1.5772,8252,4251,139.6824,0.147234,8075.0,,,160.0,37.0,123.0,,,5.2574,2939.0,2950.0,58.0,3559.0,3539.0,62.0,-620.0,-589.0,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,4406.0,4987.0,94.0,5783.0,5869.0,104.0,-1377.0,-882.0,-10.0,0.0,1.0,0.0,2.0,0.0,1.0,5848.0,7360.0,123.0,8297.0,9225.0,162.0,-2449.0,-1865.0,-39.0,0.0,2.0,0.0,3.0,0.0,1.0,7201.0,9699.0,151.0,11107.0,13125.0,212.0,-3906.0,-3426.0,-61.0,0.0,3.0,1.0,4.0,2.0,1.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,3,Blue,mid,Vetheo,oe:player:5eb466e63c91a4ccf328f21715e51ae,Excel Esports,oe:team:8f995652631df209ff11c4542abdcaf,1.0,Syndra,Sylas,Ryze,Yuumi,Akali,Gwen,,,,,,1826,0,3,4,2,11,18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3614,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,16135.0,530.1752,0.247743,613.6035,355.4326,0.0,15.0,0.4929,3.0,0.0986,7.0,26.0,0.8543,11858,7857,258.1709,0.272118,11375.0,,,289.0,273.0,16.0,,,9.4962,3080.0,4154.0,78.0,3266.0,4972.0,83.0,-186.0,-818.0,-5.0,0.0,1.0,1.0,0.0,1.0,0.0,4841.0,7127.0,135.0,5188.0,8123.0,145.0,-347.0,-996.0,-10.0,0.0,1.0,1.0,0.0,1.0,0.0,7001.0,10543.0,203.0,7552.0,11023.0,201.0,-551.0,-480.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,9082.0,13187.0,239.0,9843.0,15879.0,236.0,-761.0,-2692.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,4,Blue,bot,Patrik,oe:player:1dad889ff236635dc1e03d02312e79c,Excel Esports,oe:team:8f995652631df209ff11c4542abdcaf,1.0,Varus,Sylas,Ryze,Yuumi,Akali,Gwen,,,,,,1826,0,1,4,3,11,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,17872.0,587.2508,0.274413,431.172,215.1588,1054.0,11.0,0.3614,4.0,0.1314,2.0,21.0,0.69,9853,5852,192.2892,0.202681,9800.0,,,228.0,228.0,0.0,,,7.4918,3083.0,3002.0,63.0,3880.0,4007.0,88.0,-797.0,-1005.0,-25.0,1.0,0.0,1.0,1.0,2.0,0.0,5049.0,5410.0,117.0,5979.0,6896.0,143.0,-930.0,-1486.0,-26.0,1.0,0.0,1.0,1.0,3.0,0.0,6685.0,7662.0,161.0,7879.0,9382.0,197.0,-1194.0,-1720.0,-36.0,1.0,0.0,1.0,1.0,3.0,0.0,8167.0,9408.0,199.0,10402.0,12695.0,242.0,-2235.0,-3287.0,-43.0,1.0,0.0,2.0,2.0,4.0,0.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,5,Blue,sup,Targamas,oe:player:eaf899c6268995f9b1e40d1932c6888,Excel Esports,oe:team:8f995652631df209ff11c4542abdcaf,1.0,Jhin,Sylas,Ryze,Yuumi,Akali,Gwen,,,,,,1826,0,2,2,5,11,18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3614,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,10322.0,339.1676,0.158488,305.6188,129.0033,728.0,53.0,1.7415,22.0,0.7229,7.0,103.0,3.3844,8341,4340,142.6068,0.150317,8225.0,,,53.0,53.0,0.0,,,1.7415,2992.0,2190.0,8.0,3637.0,2038.0,7.0,-645.0,152.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4104.0,3141.0,12.0,4634.0,2490.0,9.0,-530.0,651.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,5627.0,4101.0,27.0,5537.0,3139.0,15.0,90.0,962.0,12.0,2.0,1.0,2.0,2.0,2.0,2.0,6900.0,7105.0,37.0,7019.0,6262.0,18.0,-119.0,843.0,19.0,2.0,3.0,2.0,2.0,3.0,3.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,6,Red,top,BrokenBlade,oe:player:84bff3a326833c7c9181c698f676878,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0.0,Jax,Maokai,Caitlyn,Lucian,Jayce,Karma,,,,,,1826,1,4,2,6,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,22070.0,725.1917,0.275469,1095.0493,1003.8992,4372.0,13.0,0.4272,1.0,0.0329,5.0,21.0,0.69,12788,8787,288.7295,0.202288,12175.0,,,223.0,211.0,12.0,,,7.3275,3126.0,4960.0,69.0,3241.0,4806.0,84.0,-115.0,154.0,-15.0,0.0,1.0,0.0,0.0,0.0,1.0,4931.0,7877.0,113.0,5066.0,8170.0,130.0,-135.0,-293.0,-17.0,0.0,1.0,1.0,1.0,0.0,1.0,6989.0,10588.0,159.0,6565.0,10259.0,173.0,424.0,329.0,-14.0,0.0,2.0,1.0,1.0,0.0,2.0,9360.0,14320.0,191.0,8507.0,12582.0,200.0,853.0,1738.0,-9.0,2.0,4.0,2.0,3.0,1.0,4.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,7,Red,jng,Yike,oe:player:4203fc46c4c6333e9bfa9d0a8618677,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0.0,Graves,Maokai,Caitlyn,Lucian,Jayce,Karma,,,,,,1826,1,8,1,3,18,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5915,0.9529,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,1.0,0.0,13127.0,431.3363,0.163846,555.5422,753.7459,4117.0,25.0,0.8215,26.0,0.8543,3.0,81.0,2.6616,15886,11885,390.5257,0.273605,12575.0,,,273.0,91.0,182.0,,,8.9704,3559.0,3539.0,62.0,2939.0,2950.0,58.0,620.0,589.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,5783.0,5869.0,104.0,4406.0,4987.0,94.0,1377.0,882.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,8297.0,9225.0,162.0,5848.0,7360.0,123.0,2449.0,1865.0,39.0,3.0,0.0,1.0,0.0,2.0,0.0,11107.0,13125.0,212.0,7201.0,9699.0,151.0,3906.0,3426.0,61.0,4.0,2.0,1.0,0.0,3.0,1.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,8,Red,mid,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0.0,Viktor,Maokai,Caitlyn,Lucian,Jayce,Karma,,,,,,1826,1,2,2,7,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,17812.0,585.2793,0.222322,693.5159,911.5005,4020.0,8.0,0.2629,3.0,0.0986,2.0,21.0,0.69,12606,8605,282.7492,0.198099,11760.0,,,256.0,244.0,12.0,,,8.4118,3266.0,4972.0,83.0,3080.0,4154.0,78.0,186.0,818.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,5188.0,8123.0,145.0,4841.0,7127.0,135.0,347.0,996.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,7552.0,11023.0,201.0,7001.0,10543.0,203.0,551.0,480.0,-2.0,0.0,1.0,0.0,0.0,1.0,1.0,9843.0,15879.0,236.0,9082.0,13187.0,239.0,761.0,2692.0,-3.0,1.0,4.0,1.0,1.0,2.0,2.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,9,Red,bot,Hans Sama,oe:player:c62a5235ad6bc113a1e64eb0e9aa8c8,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0.0,Ashe,Maokai,Caitlyn,Lucian,Jayce,Karma,,,,,,1826,1,2,1,10,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,13827.0,454.3373,0.172583,461.5663,310.9091,5839.0,11.0,0.3614,16.0,0.5257,3.0,38.0,1.2486,13115,9114,299.4743,0.209816,11475.0,,,266.0,262.0,4.0,,,8.7404,3880.0,4007.0,88.0,3083.0,3002.0,63.0,797.0,1005.0,25.0,1.0,2.0,0.0,1.0,0.0,1.0,5979.0,6896.0,143.0,5049.0,5410.0,117.0,930.0,1486.0,26.0,1.0,3.0,0.0,1.0,0.0,1.0,7879.0,9382.0,197.0,6685.0,7662.0,161.0,1194.0,1720.0,36.0,1.0,3.0,0.0,1.0,0.0,1.0,10402.0,12695.0,242.0,8167.0,9408.0,199.0,2235.0,3287.0,43.0,2.0,4.0,0.0,1.0,0.0,2.0
ESPORTSTMNT06_2767073,complete,,LEC,2023,Winter,0,2023-01-21 17:27:32,1,13.01,10,Red,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0.0,Heimerdinger,Maokai,Caitlyn,Lucian,Jayce,Karma,,,,,,1826,1,2,5,5,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5915,0.9529,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,13282.0,436.4294,0.16578,546.276,200.1095,758.0,59.0,1.9387,14.0,0.46,15.0,104.0,3.4173,9048,5047,165.8379,0.116192,8875.0,,,24.0,22.0,2.0,,,0.7886,3637.0,2038.0,7.0,2992.0,2190.0,8.0,645.0,-152.0,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,4634.0,2490.0,9.0,4104.0,3141.0,12.0,530.0,-651.0,-3.0,2.0,2.0,1.0,1.0,1.0,2.0,5537.0,3139.0,15.0,5627.0,4101.0,27.0,-90.0,-962.0,-12.0,2.0,2.0,2.0,2.0,1.0,2.0,7019.0,6262.0,18.0,6900.0,7105.0,37.0,119.0,-843.0,-19.0,2.0,3.0,3.0,2.0,3.0,2.0
