gameid,playoffs,side,teamname,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,result
LOLTMNT04_149159,0,Red,Movistar KOI,1.0,1438.0,2852.0,15.0,7.0,14.0,5.0,1
LOLTMNT04_150207,0,Blue,Team Vitality,0.0,2268.0,1403.0,30.0,4.0,8.0,1.0,1
LOLTMNT04_150207,0,Red,Shifters,1.0,-2268.0,-1403.0,-30.0,1.0,2.0,4.0,0
LOLTMNT04_150214,0,Blue,SK Gaming,0.0,-1055.0,-26.0,-18.0,1.0,2.0,0.0,0
LOLTMNT04_150214,0,Red,Natus Vincere,1.0,1055.0,26.0,18.0,0.0,0.0,1.0,1
LOLTMNT04_149225,0,Blue,Team Heretics,0.0,2965.0,2353.0,64.0,3.0,3.0,1.0,0
LOLTMNT04_149225,0,Red,Los Ratones,1.0,-2965.0,-2353.0,-64.0,1.0,3.0,3.0,1
LOLTMNT04_150239,0,Blue,Karmine Corp Blue,0.0,-4081.0,-3402.0,-58.0,5.0,6.0,8.0,0
LOLTMNT04_150239,0,Red,Movistar KOI,1.0,4081.0,3402.0,58.0,8.0,10.0,5.0,1
LOLTMNT04_149245,0,Blue,Fnatic,0.0,-170.0,973.0,29.0,2.0,2.0,1.0,1
LOLTMNT04_149245,0,Red,GiantX,1.0,170.0,-973.0,-29.0,1.0,1.0,2.0,0
LOLTMNT04_149251,0,Blue,G2 Esports,0.0,-974.0,-1849.0,2.0,1.0,0.0,3.0,0
LOLTMNT04_149251,0,Red,Karmine Corp,1.0,974.0,1849.0,-2.0,3.0,3.0,1.0,1
LOLTMNT04_150288,0,Blue,SK Gaming,1.0,8808.0,7566.0,104.0,12.0,12.0,2.0,1
LOLTMNT04_150288,0,Red,Karmine Corp Blue,0.0,-8808.0,-7566.0,-104.0,2.0,4.0,12.0,0
LOLTMNT04_149293,0,Blue,Shifters,0.0,2432.0,2153.0,59.0,3.0,4.0,3.0,0
LOLTMNT04_149293,0,Red,Los Ratones,1.0,-2432.0,-2153.0,-59.0,3.0,7.0,3.0,1
LOLTMNT04_149305,0,Blue,Team Vitality,1.0,207.0,-1166.0,-6.0,1.0,1.0,1.0,0
LOLTMNT04_149305,0,Red,Fnatic,0.0,-207.0,1166.0,6.0,1.0,2.0,1.0,1
LOLTMNT04_149323,0,Blue,G2 Esports,1.0,1348.0,1034.0,41.0,0.0,0.0,2.0,1
LOLTMNT04_149323,0,Red,Team Heretics,0.0,-1348.0,-1034.0,-41.0,2.0,3.0,0.0,0
LOLTMNT04_150332,0,Blue,Natus Vincere,1.0,219.0,1423.0,-9.0,3.0,6.0,2.0,0
LOLTMNT04_150332,0,Red,Karmine Corp,0.0,-219.0,-1423.0,9.0,2.0,4.0,3.0,1
LOLTMNT04_150342,0,Blue,Movistar KOI,1.0,-4379.0,-2522.0,-22.0,1.0,0.0,4.0,0
LOLTMNT04_150342,0,Red,GiantX,0.0,4379.0,2522.0,22.0,4.0,5.0,1.0,1
LOLTMNT04_152292,0,Blue,Team Heretics,1.0,-302.0,963.0,34.0,1.0,1.0,2.0,0
LOLTMNT04_152292,0,Red,SK Gaming,0.0,302.0,-963.0,-34.0,2.0,2.0,1.0,1
LOLTMNT04_152324,0,Blue,GiantX,0.0,1661.0,1308.0,7.0,5.0,10.0,3.0,1
LOLTMNT04_152324,0,Red,Natus Vincere,1.0,-1661.0,-1308.0,-7.0,3.0,3.0,5.0,0
LOLTMNT04_151290,0,Blue,Fnatic,0.0,-1906.0,-1378.0,-33.0,4.0,6.0,4.0,0
LOLTMNT04_151290,0,Red,Shifters,1.0,1906.0,1378.0,33.0,4.0,7.0,4.0,1
LOLTMNT04_151303,0,Blue,G2 Esports,0.0,-1181.0,-494.0,-23.0,5.0,7.0,6.0,1
LOLTMNT04_151303,0,Red,Karmine Corp Blue,1.0,1181.0,494.0,23.0,6.0,9.0,5.0,0
LOLTMNT04_152357,0,Blue,Team Vitality,0.0,1937.0,521.0,14.0,3.0,6.0,2.0,1
LOLTMNT04_152357,0,Red,Karmine Corp,1.0,-1937.0,-521.0,-14.0,2.0,2.0,3.0,0
LOLTMNT04_152368,0,Blue,Los Ratones,0.0,-1363.0,-1254.0,-29.0,2.0,4.0,3.0,1
LOLTMNT04_152368,0,Red,Movistar KOI,1.0,1363.0,1254.0,29.0,3.0,6.0,2.0,0
LOLTMNT04_151377,0,Blue,Shifters,1.0,-1941.0,218.0,-38.0,2.0,3.0,0.0,0
LOLTMNT04_151377,0,Red,Natus Vincere,0.0,1941.0,-218.0,38.0,0.0,0.0,2.0,1
LOLTMNT04_151408,0,Blue,Team Heretics,0.0,508.0,-1067.0,28.0,1.0,2.0,4.0,1
LOLTMNT04_151408,0,Red,Karmine Corp Blue,1.0,-508.0,1067.0,-28.0,4.0,5.0,1.0,0
LOLTMNT04_152447,0,Blue,GiantX,1.0,749.0,600.0,18.0,3.0,3.0,3.0,0
LOLTMNT04_152447,0,Red,Team Vitality,0.0,-749.0,-600.0,-18.0,3.0,6.0,3.0,1
LOLTMNT04_152461,0,Blue,SK Gaming,0.0,-1224.0,-733.0,-36.0,3.0,3.0,2.0,0
LOLTMNT04_152461,0,Red,Movistar KOI,1.0,1224.0,733.0,36.0,2.0,4.0,3.0,1
LOLTMNT04_151435,0,Blue,Fnatic,0.0,-3560.0,-4294.0,-64.0,0.0,0.0,4.0,0
LOLTMNT04_151435,0,Red,Karmine Corp,1.0,3560.0,4294.0,64.0,4.0,10.0,0.0,1
LOLTMNT04_151443,0,Blue,G2 Esports,0.0,1018.0,598.0,9.0,2.0,3.0,0.0,0
LOLTMNT04_151443,0,Red,Los Ratones,1.0,-1018.0,-598.0,-9.0,0.0,0.0,2.0,1
LOLTMNT04_152497,0,Blue,Karmine Corp Blue,1.0,498.0,976.0,4.0,1.0,3.0,0.0,0
LOLTMNT04_152497,0,Red,Fnatic,0.0,-498.0,-976.0,-4.0,0.0,0.0,1.0,1
LOLTMNT04_152504,0,Blue,SK Gaming,0.0,11.0,-648.0,5.0,0.0,0.0,0.0,0
LOLTMNT04_152504,0,Red,GiantX,1.0,-11.0,648.0,-5.0,0.0,0.0,0.0,1
LOLTMNT04_151516,0,Blue,Los Ratones,0.0,-1128.0,-2413.0,-22.0,2.0,6.0,4.0,0
LOLTMNT04_151516,0,Red,Natus Vincere,1.0,1128.0,2413.0,22.0,4.0,7.0,2.0,1
LOLTMNT04_151542,0,Blue,G2 Esports,0.0,1274.0,1446.0,44.0,5.0,9.0,2.0,1
LOLTMNT04_151542,0,Red,Team Vitality,1.0,-1274.0,-1446.0,-44.0,2.0,3.0,5.0,0
LOLTMNT04_152550,0,Blue,Team Heretics,0.0,3789.0,4751.0,52.0,12.0,20.0,7.0,1
LOLTMNT04_152550,0,Red,Movistar KOI,1.0,-3789.0,-4751.0,-52.0,7.0,18.0,12.0,0
LOLTMNT04_152561,0,Blue,Karmine Corp,1.0,3027.0,1624.0,42.0,8.0,9.0,4.0,1
LOLTMNT04_152561,0,Red,Shifters,0.0,-3027.0,-1624.0,-42.0,4.0,6.0,8.0,0
LOLTMNT05_175070,0,Blue,Team Heretics,1.0,515.0,2946.0,38.0,3.0,6.0,3.0,1
LOLTMNT05_175070,0,Red,Fnatic,0.0,-515.0,-2946.0,-38.0,3.0,4.0,3.0,0
LOLTMNT05_176049,0,Blue,Karmine Corp Blue,0.0,-5734.0,-2950.0,-14.0,0.0,0.0,9.0,0
LOLTMNT05_176049,0,Red,Shifters,1.0,5734.0,2950.0,14.0,9.0,21.0,0.0,1
LOLTMNT05_176056,0,Blue,SK Gaming,0.0,2070.0,1993.0,-13.0,3.0,4.0,0.0,0
LOLTMNT05_176056,0,Red,Los Ratones,1.0,-2070.0,-1993.0,13.0,0.0,0.0,3.0,1
LOLTMNT05_176064,0,Blue,G2 Esports,0.0,-503.0,1732.0,31.0,2.0,5.0,3.0,0
LOLTMNT05_176064,0,Red,Natus Vincere,1.0,503.0,-1732.0,-31.0,3.0,7.0,2.0,1
LOLTMNT05_176078,0,Blue,Movistar KOI,0.0,-2696.0,-3094.0,0.0,2.0,4.0,10.0,0
LOLTMNT05_176078,0,Red,Team Vitality,1.0,2696.0,3094.0,0.0,10.0,13.0,2.0,1
LOLTMNT05_176087,0,Blue,Karmine Corp,1.0,1981.0,984.0,-16.0,4.0,8.0,0.0,1
