gameid,playoffs,side,teamname,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,result
LOLTMNT05_184178,0,Blue,SK Gaming,1.0,-1858.0,-1885.0,-41.0,3.0,4.0,4.0,1
LOLTMNT05_184178,0,Red,Natus Vincere,0.0,1858.0,1885.0,41.0,4.0,5.0,3.0,0
LOLTMNT05_183165,0,Blue,SK Gaming,0.0,-3321.0,-3187.0,6.0,4.0,6.0,10.0,0
LOLTMNT05_183165,0,Red,Natus Vincere,1.0,3321.0,3187.0,-6.0,10.0,17.0,4.0,1
LOLTMNT05_184193,0,Blue,SK Gaming,0.0,-2019.0,-2310.0,-66.0,2.0,0.0,2.0,0
LOLTMNT05_184193,0,Red,Natus Vincere,1.0,2019.0,2310.0,66.0,2.0,1.0,2.0,1
LOLTMNT05_184204,0,Blue,Team Vitality,0.0,-1073.0,-1011.0,-8.0,3.0,2.0,5.0,1
LOLTMNT05_184204,0,Red,Team Heretics,1.0,1073.0,1011.0,8.0,5.0,9.0,3.0,0
LOLTMNT05_183186,0,Blue,Team Vitality,0.0,3738.0,2616.0,81.0,4.0,3.0,1.0,1
LOLTMNT05_183186,0,Red,Team Heretics,1.0,-3738.0,-2616.0,-81.0,1.0,1.0,4.0,0
LOLTMNT04_156054,0,Blue,SK Gaming,1.0,1013.0,1508.0,14.0,3.0,6.0,2.0,1
LOLTMNT04_156054,0,Red,Shifters,0.0,-1013.0,-1508.0,-14.0,2.0,2.0,3.0,0
LOLTMNT04_155065,0,Blue,SK Gaming,1.0,1024.0,332.0,0.0,3.0,3.0,2.0,1
LOLTMNT04_155065,0,Red,Shifters,0.0,-1024.0,-332.0,0.0,2.0,3.0,3.0,0
LOLTMNT04_156068,0,Blue,G2 Esports,0.0,-908.0,-73.0,29.0,0.0,0.0,2.0,1
LOLTMNT04_156068,0,Red,Team Heretics,1.0,908.0,73.0,-29.0,2.0,3.0,0.0,0
LOLTMNT04_156070,0,Blue,G2 Esports,1.0,754.0,739.0,22.0,4.0,6.0,4.0,1
LOLTMNT04_156070,0,Red,Team Heretics,0.0,-754.0,-739.0,-22.0,4.0,6.0,4.0,0
LOLTMNT04_155085,0,Blue,Team Vitality,1.0,1534.0,-247.0,-26.0,5.0,7.0,2.0,1
LOLTMNT04_155085,0,Red,Natus Vincere,0.0,-1534.0,247.0,26.0,2.0,3.0,5.0,0
LOLTMNT04_155087,0,Blue,Team Vitality,0.0,554.0,-763.0,27.0,1.0,3.0,2.0,1
LOLTMNT04_155087,0,Red,Natus Vincere,1.0,-554.0,763.0,-27.0,2.0,6.0,1.0,0
LOLTMNT04_155098,0,Blue,GiantX,0.0,2726.0,2735.0,-8.0,7.0,16.0,2.0,1
LOLTMNT04_155098,0,Red,SK Gaming,1.0,-2726.0,-2735.0,8.0,2.0,3.0,7.0,0
LOLTMNT04_156104,0,Blue,GiantX,0.0,-3.0,386.0,41.0,7.0,14.0,8.0,1
LOLTMNT04_156104,0,Red,SK Gaming,1.0,3.0,-386.0,-41.0,8.0,16.0,7.0,0
LOLTMNT04_155108,0,Blue,G2 Esports,1.0,1603.0,1871.0,45.0,3.0,4.0,1.0,1
LOLTMNT04_155108,0,Red,Fnatic,0.0,-1603.0,-1871.0,-45.0,1.0,2.0,3.0,0
LOLTMNT04_155109,0,Blue,G2 Esports,0.0,-2724.0,-1020.0,0.0,1.0,2.0,5.0,0
LOLTMNT04_155109,0,Red,Fnatic,1.0,2724.0,1020.0,0.0,5.0,10.0,1.0,1
LOLTMNT04_155110,0,Blue,G2 Esports,1.0,-3772.0,-2434.0,-15.0,2.0,2.0,9.0,0
LOLTMNT04_155110,0,Red,Fnatic,0.0,3772.0,2434.0,15.0,9.0,14.0,2.0,1
LOLTMNT04_156150,0,Blue,GiantX,1.0,3767.0,3472.0,43.0,6.0,11.0,1.0,1
LOLTMNT04_156150,0,Red,Team Heretics,0.0,-3767.0,-3472.0,-43.0,1.0,2.0,6.0,0
LOLTMNT04_155128,0,Blue,GiantX,1.0,-452.0,660.0,30.0,2.0,1.0,3.0,0
LOLTMNT04_155128,0,Red,Team Heretics,0.0,452.0,-660.0,-30.0,3.0,7.0,2.0,1
LOLTMNT04_155130,0,Blue,GiantX,0.0,1712.0,1052.0,0.0,3.0,6.0,1.0,1
LOLTMNT04_155130,0,Red,Team Heretics,1.0,-1712.0,-1052.0,0.0,1.0,3.0,3.0,0
LOLTMNT04_156161,0,Blue,Movistar KOI,0.0,-3712.0,-1994.0,-36.0,3.0,5.0,9.0,0
LOLTMNT04_156161,0,Red,Team Vitality,1.0,3712.0,1994.0,36.0,9.0,10.0,3.0,1
LOLTMNT04_155137,0,Blue,Team Vitality,0.0,1505.0,608.0,6.0,3.0,4.0,1.0,0
LOLTMNT04_155137,0,Red,Movistar KOI,1.0,-1505.0,-608.0,-6.0,1.0,1.0,3.0,1
LOLTMNT04_156164,0,Blue,Movistar KOI,0.0,1727.0,785.0,44.0,4.0,7.0,3.0,0
LOLTMNT04_156164,0,Red,Team Vitality,1.0,-1727.0,-785.0,-44.0,3.0,7.0,4.0,1
LOLTMNT04_156536,0,Blue,Natus Vincere,0.0,-846.0,-744.0,-17.0,2.0,1.0,3.0,1
LOLTMNT04_156536,0,Red,Team Heretics,1.0,846.0,744.0,17.0,3.0,4.0,2.0,0
LOLTMNT04_156545,0,Blue,Natus Vincere,1.0,1706.0,-244.0,-7.0,6.0,11.0,1.0,1
LOLTMNT04_156545,0,Red,Team Heretics,0.0,-1706.0,244.0,7.0,1.0,2.0,6.0,0
LOLTMNT04_155498,0,Blue,Team Vitality,0.0,517.0,701.0,-9.0,5.0,5.0,3.0,1
LOLTMNT04_155498,0,Red,G2 Esports,1.0,-517.0,-701.0,9.0,3.0,4.0,5.0,0
LOLTMNT04_156560,0,Blue,Team Vitality,0.0,-1604.0,-2722.0,-53.0,5.0,7.0,5.0,0
LOLTMNT04_156560,0,Red,G2 Esports,1.0,1604.0,2722.0,53.0,5.0,4.0,5.0,1
LOLTMNT04_155503,0,Blue,G2 Esports,1.0,-1223.0,-1289.0,0.0,1.0,1.0,3.0,0
LOLTMNT04_155503,0,Red,Team Vitality,0.0,1223.0,1289.0,0.0,3.0,2.0,1.0,1
LOLTMNT04_155512,0,Blue,SK Gaming,0.0,-621.0,-1769.0,-8.0,6.0,12.0,8.0,0
LOLTMNT04_155512,0,Red,Movistar KOI,1.0,621.0,1769.0,8.0,8.0,15.0,6.0,1
LOLTMNT04_155520,0,Blue,Movistar KOI,1.0,-187.0,616.0,54.0,0.0,0.0,3.0,1
LOLTMNT04_155520,0,Red,SK Gaming,0.0,187.0,-616.0,-54.0,3.0,4.0,0.0,0
LOLTMNT04_155589,0,Blue,Team Vitality,0.0,-3455.0,-2261.0,-28.0,3.0,1.0,6.0,0
LOLTMNT04_155589,0,Red,Shifters,1.0,3455.0,2261.0,28.0,6.0,10.0,3.0,1
LOLTMNT04_155590,0,Blue,Team Vitality,1.0,337.0,-1349.0,-31.0,4.0,6.0,3.0,1
LOLTMNT04_155590,0,Red,Shifters,0.0,-337.0,1349.0,31.0,3.0,2.0,4.0,0
LOLTMNT04_155593,0,Blue,Team Vitality,1.0,2056.0,1447.0,-17.0,5.0,10.0,2.0,1
LOLTMNT04_155593,0,Red,Shifters,0.0,-2056.0,-1447.0,17.0,2.0,5.0,5.0,0
LOLTMNT04_156641,0,Blue,Team Heretics,0.0,-2763.0,-1718.0,-15.0,1.0,2.0,4.0,0
LOLTMNT04_156641,0,Red,Karmine Corp,1.0,2763.0,1718.0,15.0,4.0,9.0,1.0,1
LOLTMNT04_155609,0,Blue,Team Heretics,0.0,-6192.0,-5266.0,-72.0,1.0,2.0,8.0,0
LOLTMNT04_155609,0,Red,Karmine Corp,1.0,6192.0,5266.0,72.0,8.0,15.0,1.0,1
LOLTMNT04_156669,0,Blue,SK Gaming,1.0,-57.0,12.0,43.0,0.0,0.0,2.0,1
LOLTMNT04_156669,0,Red,Fnatic,0.0,57.0,-12.0,-43.0,2.0,2.0,0.0,0
LOLTMNT04_156674,0,Blue,SK Gaming,0.0,-1647.0,-879.0,-18.0,2.0,2.0,6.0,1
LOLTMNT04_156674,0,Red,Fnatic,1.0,1647.0,879.0,18.0,6.0,16.0,2.0,0
LOLTMNT04_156685,0,Blue,GiantX,1.0,-632.0,-289.0,-24.0,2.0,4.0,1.0,1
LOLTMNT04_156685,0,Red,Shifters,0.0,632.0,289.0,24.0,1.0,1.0,2.0,0
LOLTMNT04_156690,0,Blue,Shifters,0.0,-939.0,-1701.0,31.0,0.0,0.0,6.0,0
LOLTMNT04_156690,0,Red,GiantX,1.0,939.0,1701.0,-31.0,6.0,12.0,0.0,1
LOLTMNT05_185066,0,Blue,Natus Vincere,0.0,-2566.0,-622.0,-14.0,1.0,1.0,4.0,0
LOLTMNT05_185066,0,Red,GiantX,1.0,2566.0,622.0,14.0,4.0,7.0,1.0,1
LOLTMNT05_185069,0,Blue,Natus Vincere,0.0,1566.0,1673.0,-28.0,7.0,11.0,1.0,1
LOLTMNT05_185069,0,Red,GiantX,1.0,-1566.0,-1673.0,28.0,1.0,2.0,7.0,0
LOLTMNT05_185072,0,Blue,Natus Vincere,1.0,1542.0,474.0,-19.0,5.0,8.0,2.0,1
LOLTMNT05_185072,0,Red,GiantX,0.0,-1542.0,-474.0,19.0,2.0,3.0,5.0,0
LOLTMNT05_185085,0,Blue,SK Gaming,1.0,598.0,542.0,-37.0,5.0,11.0,2.0,0
LOLTMNT05_185085,0,Red,G2 Esports,0.0,-598.0,-542.0,37.0,2.0,4.0,5.0,1
LOLTMNT05_186054,0,Blue,G2 Esports,0.0,1768.0,2414.0,14.0,10.0,13.0,6.0,1
LOLTMNT05_186054,0,Red,SK Gaming,1.0,-1768.0,-2414.0,-14.0,6.0,5.0,10.0,0
LOLTMNT05_185104,0,Blue,Team Vitality,1.0,2071.0,667.0,57.0,4.0,8.0,3.0,1
LOLTMNT05_185104,0,Red,GiantX,0.0,-2071.0,-667.0,-57.0,3.0,6.0,4.0,0
LOLTMNT05_186068,0,Blue,Team Vitality,1.0,3125.0,1670.0,33.0,7.0,6.0,5.0,1
LOLTMNT05_186068,0,Red,GiantX,0.0,-3125.0,-1670.0,-33.0,5.0,4.0,7.0,0
LOLTMNT05_186082,0,Blue,Movistar KOI,0.0,3766.0,2528.0,82.0,1.0,0.0,0.0,1
LOLTMNT05_186082,0,Red,Team Heretics,1.0,-3766.0,-2528.0,-82.0,0.0,0.0,1.0,0
LOLTMNT05_186083,0,Blue,Movistar KOI,1.0,-332.0,-1106.0,22.0,4.0,8.0,7.0,1
LOLTMNT05_186083,0,Red,Team Heretics,0.0,332.0,1106.0,-22.0,7.0,10.0,4.0,0
LOLTMNT05_186098,0,Blue,G2 Esports,1.0,261.0,430.0,38.0,4.0,6.0,5.0,1
LOLTMNT05_186098,0,Red,Shifters,0.0,-261.0,-430.0,-38.0,5.0,5.0,4.0,0
LOLTMNT05_185133,0,Blue,G2 Esports,0.0,3482.0,3639.0,31.0,6.0,7.0,1.0,1
LOLTMNT05_185133,0,Red,Shifters,1.0,-3482.0,-3639.0,-31.0,1.0,1.0,6.0,0
LOLTMNT05_185144,0,Blue,SK Gaming,0.0,-1911.0,-2370.0,0.0,3.0,4.0,7.0,0
LOLTMNT05_185144,0,Red,Karmine Corp,1.0,1911.0,2370.0,0.0,7.0,10.0,3.0,1
LOLTMNT05_185146,0,Blue,SK Gaming,0.0,-3274.0,-3060.0,-53.0,4.0,4.0,7.0,0
LOLTMNT05_185146,0,Red,Karmine Corp,1.0,3274.0,3060.0,53.0,7.0,10.0,4.0,1
LOLTMNT05_186470,0,Blue,Shifters,0.0,2577.0,739.0,3.0,5.0,11.0,3.0,0
LOLTMNT05_186470,0,Red,Fnatic,1.0,-2577.0,-739.0,-3.0,3.0,5.0,5.0,1
LOLTMNT05_186480,0,Blue,Shifters,1.0,1764.0,35.0,16.0,1.0,3.0,2.0,0
LOLTMNT05_186480,0,Red,Fnatic,0.0,-1764.0,-35.0,-16.0,2.0,3.0,1.0,1
LOLTMNT05_185468,0,Blue,Natus Vincere,0.0,1449.0,1127.0,6.0,3.0,6.0,1.0,0
LOLTMNT05_185468,0,Red,Karmine Corp,1.0,-1449.0,-1127.0,-6.0,1.0,3.0,3.0,1
LOLTMNT05_185471,0,Blue,Natus Vincere,1.0,1124.0,1021.0,-22.0,5.0,8.0,3.0,0
LOLTMNT05_185471,0,Red,Karmine Corp,0.0,-1124.0,-1021.0,22.0,3.0,4.0,5.0,1
LOLTMNT05_186550,0,Blue,Natus Vincere,0.0,1817.0,1905.0,18.0,0.0,0.0,0.0,0
LOLTMNT05_186550,0,Red,Fnatic,1.0,-1817.0,-1905.0,-18.0,0.0,0.0,0.0,1
LOLTMNT05_186551,0,Blue,Natus Vincere,1.0,2039.0,2408.0,34.0,1.0,3.0,0.0,1
LOLTMNT05_186551,0,Red,Fnatic,0.0,-2039.0,-2408.0,-34.0,0.0,0.0,1.0,0
LOLTMNT05_185529,0,Blue,Natus Vincere,0.0,-240.0,1230.0,54.0,1.0,1.0,4.0,1
LOLTMNT05_185529,0,Red,Fnatic,1.0,240.0,-1230.0,-54.0,4.0,4.0,1.0,0
LOLTMNT05_185539,0,Blue,Karmine Corp,1.0,3519.0,4183.0,45.0,7.0,14.0,2.0,1
LOLTMNT05_185539,0,Red,Shifters,0.0,-3519.0,-4183.0,-45.0,2.0,1.0,7.0,0
LOLTMNT05_186562,0,Blue,Shifters,1.0,1119.0,-507.0,18.0,2.0,2.0,3.0,1
LOLTMNT05_186562,0,Red,Karmine Corp,0.0,-1119.0,507.0,-18.0,3.0,5.0,2.0,0
LOLTMNT05_185540,0,Blue,Karmine Corp,0.0,-308.0,92.0,-20.0,3.0,5.0,4.0,1
LOLTMNT05_185540,0,Red,Shifters,1.0,308.0,-92.0,20.0,4.0,5.0,3.0,0
LOLTMNT05_185596,0,Blue,Natus Vincere,1.0,1877.0,1356.0,-1.0,8.0,12.0,4.0,1
LOLTMNT05_185596,0,Red,Shifters,0.0,-1877.0,-1356.0,1.0,4.0,6.0,8.0,0
LOLTMNT05_185599,0,Blue,Natus Vincere,0.0,-2058.0,-562.0,-31.0,3.0,5.0,5.0,0
LOLTMNT05_185599,0,Red,Shifters,1.0,2058.0,562.0,31.0,5.0,7.0,3.0,1
LOLTMNT05_186617,0,Blue,Natus Vincere,0.0,3308.0,1755.0,0.0,8.0,12.0,4.0,1
LOLTMNT05_186617,0,Red,Shifters,1.0,-3308.0,-1755.0,0.0,4.0,9.0,8.0,0
LOLTMNT05_185611,0,Blue,Karmine Corp,0.0,-3576.0,-1468.0,12.0,1.0,2.0,8.0,0
LOLTMNT05_185611,0,Red,Fnatic,1.0,3576.0,1468.0,-12.0,8.0,19.0,1.0,1
LOLTMNT05_185612,0,Blue,Karmine Corp,0.0,-1796.0,-309.0,8.0,2.0,4.0,6.0,1
LOLTMNT05_185612,0,Red,Fnatic,1.0,1796.0,309.0,-8.0,6.0,10.0,2.0,0
LOLTMNT05_185613,0,Blue,Fnatic,1.0,-1862.0,-1048.0,-34.0,3.0,8.0,3.0,0
LOLTMNT05_185613,0,Red,Karmine Corp,0.0,1862.0,1048.0,34.0,3.0,4.0,3.0,1
LOLTMNT04_159184,0,Blue,Team Heretics,0.0,-2203.0,57.0,-27.0,1.0,2.0,1.0,0
LOLTMNT04_159184,0,Red,Fnatic,1.0,2203.0,-57.0,27.0,1.0,2.0,1.0,1
LOLTMNT04_160146,0,Blue,Fnatic,0.0,604.0,1670.0,-19.0,2.0,4.0,0.0,1
LOLTMNT04_160146,0,Red,Team Heretics,1.0,-604.0,-1670.0,19.0,0.0,0.0,2.0,0
LOLTMNT04_159194,0,Blue,SK Gaming,0.0,-670.0,456.0,-19.0,4.0,6.0,3.0,0
LOLTMNT04_159194,0,Red,Team Vitality,1.0,670.0,-456.0,19.0,3.0,4.0,4.0,1
LOLTMNT04_159202,0,Blue,SK Gaming,0.0,1419.0,634.0,12.0,6.0,13.0,4.0,1
LOLTMNT04_159202,0,Red,Team Vitality,1.0,-1419.0,-634.0,-12.0,4.0,12.0,6.0,0
LOLTMNT04_160164,0,Blue,Team Vitality,0.0,-653.0,-671.0,-56.0,3.0,3.0,2.0,1
LOLTMNT04_160164,0,Red,SK Gaming,1.0,653.0,671.0,56.0,2.0,1.0,3.0,0
LOLTMNT04_159240,0,Blue,Team Heretics,0.0,184.0,-930.0,6.0,3.0,6.0,4.0,0
LOLTMNT04_159240,0,Red,Shifters,1.0,-184.0,930.0,-6.0,4.0,6.0,3.0,1
LOLTMNT04_159248,0,Blue,Team Heretics,0.0,110.0,1489.0,24.0,3.0,5.0,2.0,0
LOLTMNT04_159248,0,Red,Shifters,1.0,-110.0,-1489.0,-24.0,2.0,4.0,3.0,1
LOLTMNT04_159260,0,Blue,Natus Vincere,1.0,2231.0,1750.0,20.0,3.0,6.0,1.0,0
LOLTMNT04_159260,0,Red,G2 Esports,0.0,-2231.0,-1750.0,-20.0,1.0,2.0,3.0,1
LOLTMNT04_159264,0,Blue,G2 Esports,0.0,377.0,-346.0,28.0,5.0,6.0,6.0,1
LOLTMNT04_159264,0,Red,Natus Vincere,1.0,-377.0,346.0,-28.0,6.0,7.0,5.0,0
LOLTMNT04_159286,0,Blue,Team Vitality,0.0,1305.0,1348.0,13.0,3.0,6.0,2.0,0
LOLTMNT04_159286,0,Red,Fnatic,1.0,-1305.0,-1348.0,-13.0,2.0,4.0,3.0,1
LOLTMNT04_159287,0,Blue,Fnatic,0.0,-2479.0,-1256.0,-13.0,4.0,7.0,7.0,0
LOLTMNT04_159287,0,Red,Team Vitality,1.0,2479.0,1256.0,13.0,7.0,8.0,4.0,1
LOLTMNT04_160242,0,Blue,Team Vitality,1.0,2452.0,3370.0,58.0,7.0,7.0,5.0,1
LOLTMNT04_160242,0,Red,Fnatic,0.0,-2452.0,-3370.0,-58.0,5.0,9.0,7.0,0
LOLTMNT04_159298,0,Blue,Movistar KOI,0.0,-1058.0,-941.0,-38.0,3.0,6.0,2.0,0
LOLTMNT04_159298,0,Red,Shifters,1.0,1058.0,941.0,38.0,2.0,2.0,3.0,1
LOLTMNT04_159302,0,Blue,Movistar KOI,0.0,-2782.0,-1279.0,-16.0,1.0,2.0,5.0,1
LOLTMNT04_159302,0,Red,Shifters,1.0,2782.0,1279.0,16.0,5.0,7.0,1.0,0
LOLTMNT04_159303,0,Blue,Movistar KOI,1.0,-2420.0,-1367.0,7.0,1.0,1.0,6.0,1
LOLTMNT04_159303,0,Red,Shifters,0.0,2420.0,1367.0,-7.0,6.0,6.0,1.0,0
LOLTMNT04_162255,0,Blue,G2 Esports,1.0,735.0,1185.0,28.0,2.0,2.0,2.0,1
LOLTMNT04_162255,0,Red,Karmine Corp,0.0,-735.0,-1185.0,-28.0,2.0,4.0,2.0,0
LOLTMNT04_162268,0,Blue,G2 Esports,0.0,38.0,2249.0,26.0,5.0,9.0,6.0,1
LOLTMNT04_162268,0,Red,Karmine Corp,1.0,-38.0,-2249.0,-26.0,6.0,6.0,5.0,0
LOLTMNT04_161335,0,Blue,Movistar KOI,1.0,-812.0,511.0,32.0,2.0,5.0,5.0,1
LOLTMNT04_161335,0,Red,GiantX,0.0,812.0,-511.0,-32.0,5.0,11.0,2.0,0
LOLTMNT04_161346,0,Blue,Movistar KOI,0.0,4067.0,2963.0,4.0,11.0,30.0,3.0,1
LOLTMNT04_161346,0,Red,GiantX,1.0,-4067.0,-2963.0,-4.0,3.0,8.0,11.0,0
LOLTMNT04_161451,0,Blue,GiantX,0.0,-5570.0,-4404.0,-57.0,0.0,0.0,7.0,0
LOLTMNT04_161451,0,Red,G2 Esports,1.0,5570.0,4404.0,57.0,7.0,5.0,0.0,1
LOLTMNT04_162397,0,Blue,G2 Esports,1.0,1509.0,1722.0,29.0,2.0,2.0,1.0,1
LOLTMNT04_162397,0,Red,GiantX,0.0,-1509.0,-1722.0,-29.0,1.0,2.0,2.0,0
LOLTMNT04_162417,0,Blue,Karmine Corp,1.0,991.0,1460.0,17.0,4.0,5.0,0.0,1
LOLTMNT04_162417,0,Red,Movistar KOI,0.0,-991.0,-1460.0,-17.0,0.0,0.0,4.0,0
LOLTMNT04_161471,0,Blue,Karmine Corp,0.0,-5528.0,-5074.0,-44.0,2.0,3.0,9.0,0
LOLTMNT04_161471,0,Red,Movistar KOI,1.0,5528.0,5074.0,44.0,9.0,12.0,2.0,1
LOLTMNT04_161482,0,Blue,Movistar KOI,0.0,-2481.0,-3640.0,-14.0,5.0,9.0,8.0,0
LOLTMNT04_161482,0,Red,Karmine Corp,1.0,2481.0,3640.0,14.0,8.0,13.0,5.0,1
LOLTMNT04_162485,0,Blue,GiantX,0.0,1684.0,530.0,19.0,5.0,7.0,2.0,0
LOLTMNT04_162485,0,Red,Karmine Corp,1.0,-1684.0,-530.0,-19.0,2.0,3.0,5.0,1
LOLTMNT04_162494,0,Blue,Karmine Corp,1.0,-1002.0,-1375.0,24.0,0.0,0.0,5.0,0
LOLTMNT04_162494,0,Red,GiantX,0.0,1002.0,1375.0,-24.0,5.0,6.0,0.0,1
LOLTMNT04_161556,0,Blue,Karmine Corp,0.0,1683.0,1527.0,52.0,4.0,8.0,4.0,0
LOLTMNT04_161556,0,Red,GiantX,1.0,-1683.0,-1527.0,-52.0,4.0,4.0,4.0,1
LOLTMNT04_162542,0,Blue,G2 Esports,0.0,1686.0,2591.0,29.0,3.0,3.0,3.0,0
LOLTMNT04_162542,0,Red,Movistar KOI,1.0,-1686.0,-2591.0,-29.0,3.0,7.0,3.0,1
LOLTMNT04_161575,0,Blue,Movistar KOI,1.0,-1695.0,-1776.0,-45.0,2.0,4.0,4.0,0
LOLTMNT04_161575,0,Red,G2 Esports,0.0,1695.0,1776.0,45.0,4.0,5.0,2.0,1
LOLTMNT04_162551,0,Blue,G2 Esports,1.0,2964.0,2803.0,50.0,5.0,7.0,3.0,0
LOLTMNT04_162551,0,Red,Movistar KOI,0.0,-2964.0,-2803.0,-50.0,3.0,2.0,5.0,1
